f67b70a4-7d9a-11f0-a7f9-000000000000,The Band of His Majesty’s Royal Marines Plymouth,,Band2,ExhibitionArchitect,334cfbfc-ece8-41a1-ae26-f5ff33f0ac22
f4cb5992-6beb-11f0-9d59-000000000000,Anduril Industries UK Ltd,,SP61,ExhibitionArchitect,2846
da9f1b94-6beb-11f0-b589-000000000000,Amphenol,,SP60,ExhibitionArchitect,2845
aaf4fa6c-6beb-11f0-bf19-000000000000,Heven,,S5-350,ExhibitionArchitect,2818
9671b97c-6beb-11f0-ad81-000000000000,TRIOPTICS GmbH,,S9-145,ExhibitionArchitect,2849
d778b4d0-6ba9-11f0-ac80-000000000000,Ukrspecsystems LLC,,S2-160,ExhibitionArchitect,2016
34abf9e2-6b22-11f0-93e4-000000000000,Deloitte,,SP2,ExhibitionArchitect,2800
1c4c964a-6b22-11f0-8690-000000000000,Nokia,,SP3,ExhibitionArchitect,2801
eb5279c4-6b21-11f0-bb3c-000000000000,Action Target,,N5-260,ExhibitionArchitect,2804
e14773b2-6b21-11f0-9f19-000000000000,3A Composites Mobility AG,,N9-150,ExhibitionArchitect,2803
c264713e-6b21-11f0-9f5a-000000000000,Aireon,,S5-353,ExhibitionArchitect,2805
b10f1268-6b21-11f0-a918-000000000000,Ascent,,S2-110,ExhibitionArchitect,2807
a6a3ea42-6b21-11f0-8bd9-000000000000,Arc'teryx,,N5-260,ExhibitionArchitect,2806
96f95780-6b21-11f0-9503-000000000000,CAT AI,,N11-124,ExhibitionArchitect,2809
86442b40-6b21-11f0-a3d6-000000000000,Barrett Firearms,,N5-260,ExhibitionArchitect,2808
74ef3e5c-6b21-11f0-8071-000000000000,Cohere UK Limited,,S15-320,ExhibitionArchitect,2810
643f3fbc-6b21-11f0-81eb-000000000000,Edgybees,,N11-124,ExhibitionArchitect,2812
52e24138-6b21-11f0-ae90-000000000000,Department 13,,S2-110,ExhibitionArchitect,2811
323091e2-6b21-11f0-b338-000000000000,"EPIC Semiconductors, Inc.",,S5-556,ExhibitionArchitect,2813
220e80bc-6b21-11f0-85b4-000000000000,GDC Middle East,,S8-210,ExhibitionArchitect,2815
17bcd500-6b21-11f0-8ee0-000000000000,Etion Create,,N10-241,ExhibitionArchitect,2814
07d3e6ec-6b21-11f0-a119-000000000000,GM Defense,,N2-410,ExhibitionArchitect,2817
f6fc1c9a-6b20-11f0-a2ed-000000000000,General Authority for Defense Development (GADD),,S8-210,ExhibitionArchitect,2816
e5f322a4-6b20-11f0-8cf6-000000000000,Ichor Autonomy,,S2-110,ExhibitionArchitect,2819
ceaab51c-6b20-11f0-b043-000000000000,iRed Ltd,,S6-150,ExhibitionArchitect,2820
b51f891a-6b20-11f0-883a-000000000000,KX Systems Inc.,,N4-317,ExhibitionArchitect,2822
a445ce2e-6b20-11f0-b237-000000000000,iVerify,,S15-320,ExhibitionArchitect,2821
90492bd2-6b20-11f0-8c2d-000000000000,LINGACOM LTD,,N11-124,ExhibitionArchitect,2823
7eb3b6d0-6b20-11f0-8346-000000000000,Matrix Composites & Engineering Ltd,,S2-110,ExhibitionArchitect,2825
6e1385c6-6b20-11f0-a747-000000000000,Marand Precision Engineering Pty Ltd,,S2-110,ExhibitionArchitect,2824
5dafb90c-6b20-11f0-992d-000000000000,MS Instruments Limited,,N5-131,ExhibitionArchitect,2826
4c9c5a12-6b20-11f0-bb44-000000000000,OCEAN TECHNOLOGY SYSTEMS,,N5-260,ExhibitionArchitect,2828
3bc886a2-6b20-11f0-a144-000000000000,Visual Layer,,N11-124,ExhibitionArchitect,2827
2289962c-6b20-11f0-81f5-000000000000,Ottopia Technologies Ltd.,,N11-124,ExhibitionArchitect,2829
0972ff70-6b20-11f0-9ae1-000000000000,S36,,S2-110,ExhibitionArchitect,2831
fe9ac538-6b1f-11f0-b81e-000000000000,Platypus Outdoors Group Pty Ltd (Platatac),,N5-260,ExhibitionArchitect,2830
ee9e5028-6b1f-11f0-87ad-000000000000,Saudi Arabian Military Industries - SAMI,,S8-210,ExhibitionArchitect,2833
e44bc998-6b1f-11f0-9d91-000000000000,SARAS Technology Limited,,N5-145,ExhibitionArchitect,2832
d3ee9a08-6b1f-11f0-b8f6-000000000000,Spiritus Systems Company Inc,,N5-260,ExhibitionArchitect,2835
c31263c2-6b1f-11f0-9f3b-000000000000,Saudi Chemical Company Holding,,S8-210,ExhibitionArchitect,2834
a1e9520a-6b1f-11f0-b85e-000000000000,Systel,,S5-263,ExhibitionArchitect,2836
8eb073d0-6b1f-11f0-8000-000000000000,TriEye,,N11-124,ExhibitionArchitect,2838
840c2b7c-6b1f-11f0-a3b3-000000000000,Teledyne Microwave UK,,S3-110,ExhibitionArchitect,2837
724e2c96-6b1f-11f0-9527-000000000000,World Defense Show,,S8-210,ExhibitionArchitect,2839
1b542ef4-661f-11f0-ba2b-000000000000,CSA,,N10-240,ExhibitionArchitect,2771
0db51132-661f-11f0-9f10-000000000000,BERKANA,,N10-240,ExhibitionArchitect,2770
f69dc2a0-661e-11f0-b682-000000000000,CSD,,N10-240,ExhibitionArchitect,2773
dd8edccc-661e-11f0-8dc3-000000000000,ATECH,,N10-240,ExhibitionArchitect,2772
8ef88ea0-661e-11f0-a661-000000000000,KRYPTUS,,N10-240,ExhibitionArchitect,2774
6b1fc066-661e-11f0-9c1a-000000000000,PROTECTA,,N10-240,ExhibitionArchitect,2776
5d813a52-661e-11f0-8e44-000000000000,M&K,,N10-240,ExhibitionArchitect,2775
3a3f9674-661e-11f0-8b88-000000000000,MODIRUM GESPI,,N10-240,ExhibitionArchitect,2777
1e1e45a8-661e-11f0-846d-000000000000,OCELLOTT,,N10-240,ExhibitionArchitect,2779
02347038-661e-11f0-b1fd-000000000000,SIMTECH,,N10-240,ExhibitionArchitect,2778
eb2bb46e-661d-11f0-80f8-000000000000,DeltaQuad,,N11-210,ExhibitionArchitect,2781
d30d2660-661d-11f0-b247-000000000000,VERTICAL DO PONTO,,N10-240,ExhibitionArchitect,2780
ad685254-661d-11f0-8da9-000000000000,JET Connectivity,,S14-200,ExhibitionArchitect,2782
9356f712-661d-11f0-b623-000000000000,Height Technologies,,N11-210,ExhibitionArchitect,2784
859dc7fe-661d-11f0-81d3-000000000000,Lobster Robotics,,N11-210,ExhibitionArchitect,2783
6d7668ac-661d-11f0-bdfa-000000000000,LiveDrop B.V.,,N11-210,ExhibitionArchitect,2786
53d60dd0-661d-11f0-b604-000000000000,Rheinmetall Defence B.V.,,N11-210,ExhibitionArchitect,2785
312e23ee-661d-11f0-9a34-000000000000,REDARC Defence & Space,,S2-110,ExhibitionArchitect,2787
1981525c-661d-11f0-a68c-000000000000,ACTinBlack Europe S.à r.l.,,N5-260,ExhibitionArchitect,2789
0bdbff44-661d-11f0-8822-000000000000,SyntheSys Defence Systems,,N5-205,ExhibitionArchitect,2788
e8827870-661c-11f0-b838-000000000000,Solsta,,N7-134,ExhibitionArchitect,2790
ce68f608-661c-11f0-a199-000000000000,AVEC CHEM s.r.o.,,N10-142,ExhibitionArchitect,2792
c0352688-661c-11f0-bcb7-000000000000,Ford Motor Company c/o Inside Track,,N3-350,ExhibitionArchitect,2791
a6f53bae-661c-11f0-adf9-000000000000,KRONUS,,N10-320,ExhibitionArchitect,2793
7de2eb4c-65b5-11f0-ad4e-000000000000,bebob factory GmbH,,S9-267,ExhibitionArchitect,2748
57031858-65b5-11f0-a58d-000000000000,Advanced Design Technology,,S2-110,ExhibitionArchitect,2745
3c53eda2-65b5-11f0-b945-000000000000,ANVL,,N11-130,ExhibitionArchitect,2746
2ab39a34-65b5-11f0-bf15-000000000000,Frontgrade,,S7-141,ExhibitionArchitect,2749
13862caa-65b5-11f0-9cd7-000000000000,MARGALLA HEAVY INDUSTRIES LIMITED,,N9-160,ExhibitionArchitect,2750
03889d56-65b5-11f0-89e2-000000000000,India Optel Limited,,N11-130,ExhibitionArchitect,2752
fa08210c-65b4-11f0-9945-000000000000,Honeywell Sensing Solutions,,S3-351,ExhibitionArchitect,2751
e29c7dec-65b4-11f0-9ba0-000000000000,KNDS,,S9-210,ExhibitionArchitect,2753
d250c0ba-65b4-11f0-90f3-000000000000,Munitions India Limited,,A-130,ExhibitionArchitect,2755
c8790e76-65b4-11f0-b548-000000000000,Mazagon Dock Shipbuilders Limited,,A-130,ExhibitionArchitect,2754
b94e169e-65b4-11f0-83f6-000000000000,SANDEEP METALCRAFT PVT LTD,,N11-130,ExhibitionArchitect,2757
a8a835f4-65b4-11f0-91a7-000000000000,PrioriAnalytica,,S2-110,ExhibitionArchitect,2756
925438b6-65b4-11f0-98b5-000000000000,Teledyne FLIR OEM,,S3-110,ExhibitionArchitect,2758
812202b2-65b4-11f0-be99-000000000000,Virtual Marine,,S6-170,ExhibitionArchitect,2760
771e1c42-65b4-11f0-a852-000000000000,UNSW Defence Research Institute,,S2-110,ExhibitionArchitect,2759
60514b38-65b4-11f0-aa3d-000000000000,Systematic,,SP-19,ExhibitionArchitect,2761
3f6cf78c-65b4-11f0-8788-000000000000,VIC TEC,,SP-20,ExhibitionArchitect,2762
1eaa74c0-65b4-11f0-ba45-000000000000,BeaverFit,,N3-260,ExhibitionArchitect,2763
96f5c18e-60fd-11f0-b3ca-000000000000,MyDefence A/S,,N9-260,ExhibitionArchitect,2730
869bb2e4-60fd-11f0-997b-000000000000,Weiss Technik GmbH,,S9-250,ExhibitionArchitect,2731
67853e98-60fd-11f0-865c-000000000000,Aviation Week Network,,N4-335,ExhibitionArchitect,2733
592d1226-60fd-11f0-885f-000000000000,DroneShield Group Pty Ltd,,S2-110,ExhibitionArchitect,2735
50cba124-60fd-11f0-b0d2-000000000000,Bdna,,S2-110,ExhibitionArchitect,2734
41ebd58e-60fd-11f0-92bf-000000000000,FORCE Technology,,N9-260,ExhibitionArchitect,2736
2ff20d30-60fd-11f0-b53c-000000000000,JUNGHANS Microtec GmbH,,S9-320,ExhibitionArchitect,2738
21467eec-60fd-11f0-994c-000000000000,GLAMOX Limited,,S11-208,ExhibitionArchitect,2737
1272c452-60fd-11f0-8c99-000000000000,1MILLIKELVIN PTY LTD,,S2-110,ExhibitionArchitect,2739
03547574-60fd-11f0-a1df-000000000000,RAIDER Targetry Pty Ltd,,S2-110,ExhibitionArchitect,2741
eea90fc2-60fc-11f0-afc7-000000000000,ARX Robotics,,N7-133,ExhibitionArchitect,2732
db01a9a2-60fc-11f0-be61-000000000000,NKT Photonics,,N9-260,ExhibitionArchitect,2740
c4ac32b2-60fc-11f0-a081-000000000000,SLIDING SYSTEMS,,N5-127,ExhibitionArchitect,2742
d0754940-5d9a-11f0-834b-000000000000,Aurizn,,S2-110,ExhibitionArchitect,2700
